====== Run started 12-06-2026 15:52:32.64 ======
12-06-2026 15:52:37.12 | ContractPayOthElements | DAL/DAL | sCoPayOthElements.cs | OK
12-06-2026 15:52:37.20 | ContractPayOthElements | DAL/DAL | sCostHeadAndCodes.cs | OK
12-06-2026 15:52:37.29 | ContractPayOthElements | DAL/DAL | sFinancialList.cs | OK
12-06-2026 15:52:37.38 | ContractPayOthElements | DAL/DAL | sRevenueHeadAndCodes.cs | OK
12-06-2026 15:52:37.46 | ContractPayOthElements | DAL/DAL | sSharedMaster.cs | OK
12-06-2026 15:52:37.54 | ContractPayOthElements | UI/UI_FORM | xpContractPayOthElements.cs | OK
12-06-2026 15:52:37.62 | ContractPayOthElements | UI/DESIGNER | xpContractPayOthElements.Designer.cs | OK
12-06-2026 15:52:37.70 | CostHeadAndCode | DATABASE/TABLE | CM_COST_CODE | OK
12-06-2026 15:52:37.77 | CostHeadAndCode | DATABASE/TABLE | CM_COST_HEAD | OK
12-06-2026 15:52:37.85 | CostHeadAndCode | DATABASE/TABLE | CM_COUNTRY | OK
12-06-2026 15:52:37.92 | CostHeadAndCode | DATABASE/TABLE | CM_PRIME_ACTIVITY | OK
12-06-2026 15:52:37.99 | CostHeadAndCode | DATABASE/TABLE | CM_SHARED_MASTER_COMPANIES | OK
12-06-2026 15:52:38.07 | CostHeadAndCode | DATABASE/TABLE | CVR_COST_REVENUE_HEADING_LINK | OK
12-06-2026 15:52:38.15 | CostHeadAndCode | DATABASE/TABLE | PC_PROCESS_STEP_ADDL_CONF | OK
12-06-2026 15:52:38.22 | CostHeadAndCode | DATABASE/TABLE | SE_USER_COMPANY_RIGHTS | OK
12-06-2026 15:52:38.30 | CostHeadAndCode | DATABASE/PROC | SPN_CM_DEL_COST_CODES | OK
12-06-2026 15:52:38.38 | CostHeadAndCode | DATABASE/PROC | SPN_CM_DEL_COST_HEADS | OK
12-06-2026 15:52:38.46 | CostHeadAndCode | DATABASE/PROC | SPN_CM_GET_COST_CODES | OK
12-06-2026 15:52:38.54 | CostHeadAndCode | DATABASE/PROC | SPN_CM_GET_COST_CODE_FOR_USER1 | OK
12-06-2026 15:52:38.61 | CostHeadAndCode | DATABASE/PROC | SPN_CM_GET_COST_HEADS | OK
12-06-2026 15:52:38.68 | CostHeadAndCode | DATABASE/PROC | SPN_CM_GET_COST_HEAD_FOR_USER | OK
12-06-2026 15:52:38.76 | CostHeadAndCode | DATABASE/PROC | SPN_CM_GET_PRIME_ACTIVITY | OK
12-06-2026 15:52:38.83 | CostHeadAndCode | DATABASE/PROC | SPN_CM_GET_SMG_FOR_USER | OK
12-06-2026 15:52:38.91 | CostHeadAndCode | DATABASE/PROC | SPN_CM_INS_COST_CODES | OK
12-06-2026 15:52:38.99 | CostHeadAndCode | DATABASE/PROC | SPN_CM_INS_COST_HEADS | OK
12-06-2026 15:52:39.07 | CostHeadAndCode | DATABASE/PROC | SPN_CM_UPD_COST_CODES | OK
12-06-2026 15:52:39.14 | CostHeadAndCode | DATABASE/PROC | SPN_CM_UPD_COST_HEADS | OK
12-06-2026 15:52:39.22 | CostHeadAndCode | DATABASE/PROC | SPN_SE_GET_COMP_LIST_FOR_USER | OK
12-06-2026 15:52:39.30 | CostHeadAndCode | BLL/BLL | bCostHeadAndCodes.cs | OK
12-06-2026 15:52:39.38 | CostHeadAndCode | BLL/BLL | bPrimeActivity.cs | OK
12-06-2026 15:52:39.46 | CostHeadAndCode | BLL/BLL | bReports.cs | OK
12-06-2026 15:52:39.55 | CostHeadAndCode | BLL/BLL | bSecurity.cs | OK
12-06-2026 15:52:39.63 | CostHeadAndCode | BLL/BLL | bSharedmaster.cs | OK
12-06-2026 15:52:39.71 | CostHeadAndCode | DAL/DAL | sCostHeadAndCodes.cs | OK
12-06-2026 15:52:39.79 | CostHeadAndCode | DAL/DAL | sPrimeActivity.cs | OK
12-06-2026 15:52:39.87 | CostHeadAndCode | DAL/DAL | sSecurity.cs | OK
12-06-2026 15:52:39.94 | CostHeadAndCode | DAL/DAL | sSharedMaster.cs | OK
12-06-2026 15:52:40.02 | CostHeadAndCode | UI/UI_FORM | xpCostHeadAndCode.cs | OK
12-06-2026 15:52:40.10 | CostHeadAndCode | UI/DESIGNER | xpCostHeadAndCode.designer.cs | OK
12-06-2026 15:52:40.18 | CostHeadAndCode | UI/UI_FORM | xpImportCostCodeHeads.cs | OK
12-06-2026 15:52:40.26 | CostHeadAndCode | UI/DESIGNER | xpImportCostCodeHeads.Designer.cs | OK
12-06-2026 15:52:40.34 | CostHeadAndCode | UI/UI_FORM | xpImportForCC.cs | OK
12-06-2026 15:52:40.42 | CostHeadAndCode | UI/DESIGNER | xpImportForCC.Designer.cs | OK
12-06-2026 15:52:40.50 | CostHeadAndCode | UI/UI_FORM | xpPrimeActivityPickList.cs | OK
12-06-2026 15:52:40.59 | CostHeadAndCode | UI/DESIGNER | xpPrimeActivityPickList.designer.cs | OK
12-06-2026 15:52:40.67 | CVRGroups | DATABASE/TABLE | CM_COST_CODE | OK
12-06-2026 15:52:40.75 | CVRGroups | DATABASE/TABLE | CM_COST_HEAD | OK
12-06-2026 15:52:40.82 | CVRGroups | DATABASE/TABLE | CM_SHARED_MASTER_COMPANIES | OK
12-06-2026 15:52:40.90 | CVRGroups | DATABASE/TABLE | CVR_SECURITY_GROUP | OK
12-06-2026 15:52:40.98 | CVRGroups | DATABASE/TABLE | CVR_SECURITY_GRP_COST_CODE_LINK | OK
12-06-2026 15:52:41.06 | CVRGroups | DATABASE/TABLE | CVR_SECURITY_GRP_ROLE_LINK | OK
12-06-2026 15:52:41.13 | CVRGroups | DATABASE/TABLE | SE_SECURITY_ROLE | OK
12-06-2026 15:52:41.21 | CVRGroups | DATABASE/TABLE | SE_SECURITY_ROLE_SCOPE | OK
12-06-2026 15:52:41.29 | CVRGroups | DATABASE/TABLE | SE_USER_COMPANY_RIGHTS | OK
12-06-2026 15:52:41.36 | CVRGroups | DATABASE/TABLE | SE_USER_ROLE_GRANT | OK
12-06-2026 15:52:41.45 | CVRGroups | DATABASE/PROC | SPN_CM_GET_COST_CODE_FOR_USER1 | OK
12-06-2026 15:52:41.53 | CVRGroups | DATABASE/PROC | SPN_CM_GET_COST_HEAD_FOR_USER | OK
12-06-2026 15:52:41.60 | CVRGroups | DATABASE/PROC | SPN_CVR_DEL_CVR_SECURITY_GROUP | OK
12-06-2026 15:52:41.68 | CVRGroups | DATABASE/PROC | SPN_CVR_DEL_CVR_SEC_COST_CODE_LNK | OK
12-06-2026 15:52:41.77 | CVRGroups | DATABASE/PROC | SPN_CVR_DEL_CVR_SEC_GRP_ROLE_LNK | OK
12-06-2026 15:52:41.84 | CVRGroups | DATABASE/PROC | SPN_CVR_GET_SECURITY_GROUP | OK
12-06-2026 15:52:41.92 | CVRGroups | DATABASE/PROC | SPN_CVR_INS_CVR_SECURITY_GROUP | OK
12-06-2026 15:52:41.99 | CVRGroups | DATABASE/PROC | SPN_CVR_INS_CVR_SEC_COST_CODE_LNK | OK
12-06-2026 15:52:42.07 | CVRGroups | DATABASE/PROC | SPN_CVR_INS_CVR_SEC_GRP_ROLE_LNK | OK
12-06-2026 15:52:42.14 | CVRGroups | DATABASE/PROC | SPN_CVR_UPD_CVR_SECURITY_GROUP | OK
12-06-2026 15:52:42.21 | CVRGroups | DATABASE/PROC | SPN_SE_GET_SECURITY_ROLE | OK
12-06-2026 15:52:42.28 | CVRGroups | DATABASE/PROC | SPN_SE_GET_SECURITY_ROLE_SCOPE | OK
12-06-2026 15:52:42.37 | CVRGroups | BLL/BLL | bCostHeadAndCodes.cs | OK
12-06-2026 15:52:42.44 | CVRGroups | BLL/BLL | bCVRProjectForecasting.cs | OK
12-06-2026 15:52:42.52 | CVRGroups | BLL/BLL | bSecurityRole.cs | OK
12-06-2026 15:52:42.60 | CVRGroups | DAL/DAL | sCostHeadAndCodes.cs | OK
12-06-2026 15:52:42.68 | CVRGroups | DAL/DAL | sCVRProjectForecasting.cs | OK
12-06-2026 15:52:42.77 | CVRGroups | DAL/DAL | sSecurityRole.cs | OK
12-06-2026 15:52:42.87 | CVRGroups | UI/UI_FORM | xpCVRGroups.cs | OK
12-06-2026 15:52:42.95 | CVRGroups | UI/DESIGNER | xpCVRGroups.Designer.cs | OK
12-06-2026 15:52:43.03 | JournalVoucherType | DATABASE/TABLE | CM_COST_CODE | OK
12-06-2026 15:52:43.11 | JournalVoucherType | DATABASE/TABLE | CM_COST_HEAD | OK
12-06-2026 15:52:43.18 | JournalVoucherType | DATABASE/TABLE | CM_COUNTRY | OK
